GEOID,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OVR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED,COMMUNITY_AREA_NUMBER
OHARE,15469,34.1,13.3,25.5,24.4,33.6,7.7,76
WEST GARFIELD PARK,16943,32,42.2,40.5,36.3,5.5,18,26
MCKINLEY PARK,15920,36.2,22.7,29.8,30.4,21,10.1,59
UPTOWN,58424,35.8,22.1,20.5,16,54.3,5.3,3
DUNNING,44035,41.3,8.1,24.4,32,26.8,4.3,17
FOREST GLEN,19092,43.9,4.7,36.1,16,57.1,4,12
NEAR SOUTH SIDE,24343,38,10.1,22.8,6.6,73.2,1.8,33
NORTH CENTER,35705,34,4.6,11.8,7.4,73.6,3.3,5
EDGEWATER,57022,39.6,16.4,20.9,14.6,56.3,5.9,77
NORTH LAWNDALE,33854,30.4,40.7,38.8,31.3,12.2,17.6,29
EAST SIDE,24230,33,19.3,33,35.5,11.5,15,52
GREATER GRAND CROSSING,30805,35.1,36.9,36.7,28.6,16.6,22.3,69
EAST GARFIELD PARK,19738,29.8,45.5,41.5,34.7,15.6,18.3,27
WEST ELSDON,19336,32.3,11,18.4,36.8,12.3,11.5,62
ARMOUR SQUARE,13719,47,33.9,22.2,28.1,22.2,11.6,34
LAKE VIEW,100547,30.5,8.5,13.4,5.3,80.8,3,6
CHICAGO LAWN,52003,31.8,24.6,36.4,41.4,8,22.2,66
DOUGLAS,21268,30.9,38.3,30.3,19.5,40.3,15.5,35
WEST PULLMAN,27471,35.9,25.7,34.3,32.9,16.5,23.2,53
OAKLAND,6850,31.8,28,21.1,24.3,31.1,19.5,36
AUSTIN,94762,35.4,28.8,37.1,35.4,13.9,13.8,25
LINCOLN PARK,68697,30.5,9.1,15,5.3,84.6,3,7
SOUTH CHICAGO,29021,33.7,29.2,30.6,35.5,14.6,19,46
CALUMET HEIGHTS,12956,49.4,14.7,28.6,25.1,25.5,10.6,48
WEST RIDGE,77212,37,21.1,27.9,22.2,39.5,7.8,2
LOWER WEST SIDE,32789,32.5,20.6,21.6,19.5,30.9,6.6,31
MORGAN PARK,21674,43.4,18.9,28.5,22.3,37,12,75
LOOP,37647,32.5,11.6,18,3.6,80.6,5.4,32
MOUNT GREENWOOD,19342,37.5,4.2,21.4,23.2,39.3,3.6,74
IRVING PARK,53665,35.8,10.3,16.8,21.6,40.3,4.3,16
NEAR WEST SIDE,62733,30.8,23.7,20.7,11.6,65.9,8.5,28
BEVERLY,20437,44.5,4.5,14.1,13.3,56.2,4.3,72
BURNSIDE,2336,45.3,17.7,40.1,39.3,13.4,21.9,47
CLEARING,25735,35.1,9.6,18.7,37.9,17,9.2,64
AVONDALE,37909,32.8,17.5,22.9,22.2,35,4.8,21
BRIDGEPORT,33888,36.8,17.4,24,25.9,31.9,8.2,60
GAGE PARK,39302,28.5,18.1,21.1,40.3,6.5,12.6,63
SOUTH LAWNDALE,74943,30.3,31.6,20.4,28.1,8,8.7,30
PULLMAN,6816,44.8,22.2,28.5,24.4,23.5,17.4,50
WEST LAWN,32176,32.5,14.2,24.3,37.8,11.5,13,65
PORTAGE PARK,64961,38.2,11.3,21.3,28.7,30.2,6.3,15
WASHINGTON HEIGHTS,27354,41.2,20.3,40.9,29.4,23.1,18.3,73
AUBURN GRESHAM,45271,39.3,26.1,35.4,31.3,14.7,18.8,71
LOGAN SQUARE,73689,31.5,12.9,16.1,18.7,54.1,4.1,22
WASHINGTON PARK,11355,30.5,37.5,35,33.4,17.6,19.6,40
EDISON PARK,11724,40.7,2.8,14.3,20.4,49.8,2,9
NEAR NORTH SIDE,89995,34.3,10.2,16.1,5.4,79.9,3.4,8
LINCOLN SQUARE,41713,34.9,8.6,17.2,12.8,62.1,4.5,4
SOUTH SHORE,49410,37.2,35.5,36.5,26.2,22.5,18,43
GRAND BOULEVARD,23200,35.7,30.7,31.5,20.7,31.1,16.8,38
ARCHER HEIGHTS,13082,33.1,17.5,18,37.5,13.8,8.3,57
RIVERDALE,7262,22.5,57.9,25.2,29.3,4,33.3,54
SOUTH DEERING,14697,36.7,29.2,30.9,33.2,13.9,22.4,51
ROGERS PARK,54872,35.5,25.5,28.8,19.3,45.5,6.6,1
