Object ID,FIPS_CODE,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OCR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED
1,17031010100,4522,35.3,35.8,28.2079646,16.9,46.9,7
2,17031010201,7039,36.3,36.8,39.67674661,24.6,30.8,7.3
3,17031010202,2852,35.7,18.5,28.50061958,19.7,33.3,6.5
4,17031010300,6650,41.6,16.1,20.33983008,26.2,39.4,4.9
5,17031010400,5153,25.2,19.1,32.83093054,11.3,65.5,7.7
6,17031010501,4147,37.7,20.7,26.80412371,17.2,54.5,8.7
7,17031010502,2802,31.3,30,31.53153153,10.3,55.5,3.7
8,17031010503,1713,37.1,48,31.38780804,23.2,37.5,7.7
9,17031010600,6271,33,24.4,32.36245955,14.7,53.4,7.5
10,17031010701,3766,36.1,20.8,28.60696517,23.9,45.8,4.9
11,17031010702,5096,30.8,24.2,27.35674677,14.2,45.3,5.2
12,17031020100,3836,38.2,14.2,22.85353535,21.2,42.4,5.9
13,17031020200,6739,32.7,13.5,33.81642512,13.5,47,8.4
14,17031020301,5472,36.2,13.6,14.99085923,16.5,56.9,6
15,17031020302,5348,39.1,22.8,34.52544704,20.5,51.9,7.3
16,17031020400,4236,38.8,17.9,24.03100775,21.5,48.7,3.7
17,17031020500,6584,32.6,26.3,16.40419948,21.6,34.1,13.6
18,17031020601,6131,39.2,24.3,38.06104129,23.8,41.7,10.9
19,17031020602,4734,30.9,22,26.21015348,19.9,44.3,7.7
20,17031020701,1748,39.7,6.6,29.218107,19.2,48.5,7.2
21,17031020702,7674,31.8,22.1,31.8404908,26.8,30.3,9.3
22,17031020801,6112,38.7,16.5,26.38132296,19.1,29.1,7.3
23,17031020802,7952,34.4,26.2,33.96226415,29,30.7,8.2
24,17031020901,5966,31.3,28.9,25.57965595,23.2,37.8,3.9
25,17031020902,4680,37.7,26.7,26.11731844,30.1,25.2,5.4
26,17031030101,3768,38.3,14.7,23.40425532,24.1,49.3,8.9
27,17031030102,2703,38.1,16.2,23.03523035,10.6,57.6,5.5
28,17031030103,2252,27.6,16.6,17.90393013,5.6,68.8,10.7
29,17031030104,3569,22.6,27.9,28.10559006,14.2,54.3,11.5
30,17031030200,5444,41.4,14.3,26.22568093,9.6,60.7,5.8
31,17031030300,3464,36.1,24,24.80916031,29.3,35.9,5.7
32,17031030400,2582,40.4,15.9,16.26666667,9,59.1,6.9
33,17031030500,6428,38.6,5.5,17.51302083,14.5,57.3,2.3
34,17031030601,3956,40.1,17.6,15.44064093,19.7,46.7,3.4
35,17031030603,2258,35,23.9,24.88372093,26.5,48.4,4.3
36,17031030604,3344,40.8,24.4,28.01531589,10.3,55.2,4.6
37,17031030701,1712,36,26.3,23.22485207,15.6,47.3,9.1
38,17031030702,2252,46.9,13.1,13.91035549,9.2,70.2,7.5
39,17031030703,2909,40.5,25.1,22.22222222,6.7,52.1,4.6
40,17031030706,2928,48.9,13.3,29.5404814,19.5,55.3,8.5
41,17031030800,4392,41.6,8.9,11.67747915,12.8,73.7,4.9
42,17031030900,3061,39.6,9.4,11.86206897,9.2,62.1,3
43,17031031000,4089,36.3,6.8,14.22594142,12,66,4.5
44,17031031100,5059,35.4,12.3,15.92427617,12.1,61.1,5.2
45,17031031200,5937,34.6,26.9,19.80582524,20.4,41.9,4.2
46,17031031300,7604,45.8,22.1,19.0862196,16.5,50.6,2.7
47,17031031400,4853,37.8,10.6,22.26331361,5.5,75.8,1.9
48,17031031501,4587,38.9,46.9,24.31906615,21.7,36.6,10.6
49,17031031502,4651,33.1,32.3,20.91346154,21.1,42.7,8.5
50,17031031700,6691,34.9,24,26,22.1,52.2,4.5
51,17031031800,1857,34.2,7.1,22.69372694,8.9,70.3,3.1
52,17031031900,2566,33.8,11.4,12.94697904,11.5,70.6,7
53,17031032100,6837,36.5,23.7,22.85012285,15.6,59.7,6.4
54,17031040100,3879,37.2,11.4,9.830097087,11.4,60.8,1.6
55,17031040201,6891,33.6,8.1,18.84615385,11,58.1,2.5
56,17031040202,7265,35.9,18.5,34.15354331,26.6,40,6.3
57,17031040300,2925,42.9,1.4,8.985507246,13.8,54,11.3
58,17031040401,3347,35.6,3.7,7.58377425,12.2,69.8,5.9
59,17031040402,5269,33.1,6.5,13.25451151,10.7,75.5,3.2
60,17031040600,2514,34,3.8,12.99589603,7.5,79.3,5.2
61,17031040700,3440,34.4,6.9,17.50524109,6.1,68.6,2.1
62,17031040800,1829,36.1,5.9,11.86440678,8.5,63,2.4
63,17031040900,1842,34.9,8.4,20.43918919,2.8,80.7,4.6
64,17031050100,2731,34.4,4.9,6.938159879,4.6,74.2,3.2
