GEOID,TOTAL_POPULATION,MEDIAN_AGE,PCT_POVERTY,PCT_HSNGCSTS_OVR_50_PCT,PCT_OVR_25_HGHSCL_CMPLT,PCT_OVR_25_BCHLRS_CMPLT,PCT_UNEMPLOYED,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,COMMUNITY_AREA_GROUP
17031010100,4522,35.3,35.8,28.2,16.9,46.9,7,1,ROGERS PARK,Far North
17031010201,7039,36.3,36.8,39.7,24.6,30.8,7.3,1,ROGERS PARK,Far North
17031010202,2852,35.7,18.5,28.5,19.7,33.3,6.5,1,ROGERS PARK,Far North
17031010300,6650,41.6,16.1,20.3,26.2,39.4,4.9,1,ROGERS PARK,Far North
17031010400,5153,25.2,19.1,32.8,11.3,65.5,7.7,1,ROGERS PARK,Far North
17031010501,4147,37.7,20.7,26.8,17.2,54.5,8.7,1,ROGERS PARK,Far North
17031010502,2802,31.3,30,31.5,10.3,55.5,3.7,1,ROGERS PARK,Far North
17031010503,1713,37.1,48,31.4,23.2,37.5,7.7,1,ROGERS PARK,Far North
17031010600,6271,33,24.4,32.4,14.7,53.4,7.5,1,ROGERS PARK,Far North
17031010701,3766,36.1,20.8,28.6,23.9,45.8,4.9,1,ROGERS PARK,Far North
17031010702,5096,30.8,24.2,27.4,14.2,45.3,5.2,1,ROGERS PARK,Far North
17031020100,3836,38.2,14.2,22.9,21.2,42.4,5.9,2,WEST RIDGE,Far North
17031020200,6739,32.7,13.5,33.8,13.5,47,8.4,2,WEST RIDGE,Far North
17031020301,5472,36.2,13.6,15,16.5,56.9,6,2,WEST RIDGE,Far North
17031020302,5348,39.1,22.8,34.5,20.5,51.9,7.3,2,WEST RIDGE,Far North
17031020400,4236,38.8,17.9,24,21.5,48.7,3.7,2,WEST RIDGE,Far North
17031020500,6584,32.6,26.3,16.4,21.6,34.1,13.6,2,WEST RIDGE,Far North
17031020601,6131,39.2,24.3,38.1,23.8,41.7,10.9,2,WEST RIDGE,Far North
17031020602,4734,30.9,22,26.2,19.9,44.3,7.7,2,WEST RIDGE,Far North
17031020701,1748,39.7,6.6,29.2,19.2,48.5,7.2,2,WEST RIDGE,Far North
17031020702,7674,31.8,22.1,31.8,26.8,30.3,9.3,2,WEST RIDGE,Far North
17031020801,6112,38.7,16.5,26.4,19.1,29.1,7.3,2,WEST RIDGE,Far North
17031020802,7952,34.4,26.2,34,29,30.7,8.2,2,WEST RIDGE,Far North
17031020901,5966,31.3,28.9,25.6,23.2,37.8,3.9,2,WEST RIDGE,Far North
17031020902,4680,37.7,26.7,26.1,30.1,25.2,5.4,2,WEST RIDGE,Far North
17031030101,3768,38.3,14.7,23.4,24.1,49.3,8.9,77,EDGEWATER,Far North
17031030102,2703,38.1,16.2,23,10.6,57.6,5.5,77,EDGEWATER,Far North
17031030103,2252,27.6,16.6,17.9,5.6,68.8,10.7,77,EDGEWATER,Far North
